id;kategoria;tekst;aktywny;waga;tagi
1;DOBRA RADA;Zrób to dziś. Jutro będziesz mieć świeży zestaw wymówek.;TAK;1;decyzje,humor
2;DOBRA RADA;Jeśli plan wymaga kłamania samemu sobie, popraw plan.;TAK;1;życie
3;DOBRA RADA;Napisz do tej osoby. Najwyżej przypomnisz sobie, czemu nie pisałeś.;TAK;1;relacje
4;DOBRA RADA;Kup sobie coś dobrego do jedzenia. Nie każdy problem potrzebuje rozwoju osobistego.;TAK;1;jedzenie
5;MOTYWACJA;Wstań. Zwycięzcy też nie wiedzą co robią, tylko robią to szybciej.;TAK;1;coach,absurd
6;MOTYWACJA;Jesteś rekinem sukcesu. Tylko przestań pływać w kałuży.;TAK;1;coach,absurd
7;MOTYWACJA;Wszechświat nie zamknął Ci drzwi. Po prostu ciągniesz zamiast pchać.;TAK;1;coach
8;MOTYWACJA;Nie czekaj na idealny moment. On też na Ciebie nie czeka.;TAK;1;coach
9;OBRAŹ MNIE;Masz potencjał. Szkoda, że tak dobrze go ukrywasz.;TAK;1;roast
10;OBRAŹ MNIE;Nie jesteś najgorszym pomysłem tego dnia. Dzień jest jeszcze młody.;TAK;1;roast
11;OBRAŹ MNIE;Gdyby odkładanie było sportem, też przełożyłbyś trening.;TAK;1;roast,prokrastynacja
12;OBRAŹ MNIE;Twoja pewność siebie robi dziś home office.;TAK;1;roast
13;POGŁASZCZ MNIE;Robisz więcej dobrze, niż zauważasz. Tak, to było obrzydliwie miłe.;TAK;1;wsparcie
14;POGŁASZCZ MNIE;Dzisiaj możesz być z siebie zadowolony bez przedstawiania dowodów.;TAK;1;wsparcie
15;POGŁASZCZ MNIE;Masz prawo nie ogarniać wszystkiego. I nadal być całkiem zajebisty.;TAK;1;wsparcie
16;POGŁASZCZ MNIE;Ktoś powinien Ci dziś powiedzieć, że dajesz radę. No to załatwione.;TAK;1;wsparcie
17;TAK CZY NIE;TAK. Nie szukaj teraz drugiej opinii.;TAK;1;decyzje,tak
18;TAK CZY NIE;NIE. I dobrze wiesz dlaczego.;TAK;1;decyzje,nie
19;TAK CZY NIE;TAK. Ale potem nie mów, że los Cię namówił.;TAK;1;decyzje,tak
20;TAK CZY NIE;NIE. Przynajmniej nie dzisiaj.;TAK;1;decyzje,nie
21;18+;To jest bardzo zły pomysł. Czyli potencjalnie świetna historia.;TAK;1;18+,impreza
22;18+;Napisz. Ale najpierw przeczytaj wiadomość jeszcze raz na trzeźwo.;TAK;1;18+,relacje
23;18+;Jeśli rano będziesz musiał usuwać wiadomości, odpowiedź brzmi: może jednak nie.;TAK;1;18+,impreza
24;18+;Dorosłość polega między innymi na tym, że możesz. Rozsądek na tym, że nie musisz.;TAK;1;18+,decyzje
25;OBRAŹ MNIE;Jesteś dowodem, że pewność siebie nie wymaga żadnych kwalifikacji.;TAK;1;roast,ego
26;OBRAŹ MNIE;Nie jesteś głupi. Po prostu wyjątkowo konsekwentnie podejmujesz złe decyzje.;TAK;1;roast,decyzje
27;OBRAŹ MNIE;Twoja intuicja jest niesamowita. Zawsze wie, którą opcję wybrać źle.;TAK;1;roast,decyzje
28;OBRAŹ MNIE;Gdyby przeciętność miała program lojalnościowy, miałbyś kartę platynową.;TAK;1;roast,absurd
29;OBRAŹ MNIE;Jesteś jak aktualizacja Windowsa. Pojawiasz się nie w porę i nikt nie wie, co właściwie poprawiłeś.;TAK;1;roast,porównanie
30;OBRAŹ MNIE;Masz osobowość człowieka, który mówi „będzie dobrze” i nic więcej nie robi.;TAK;1;roast
31;OBRAŹ MNIE;Nie zmarnowałeś swojego potencjału. Nadal aktywnie go marnujesz.;TAK;1;roast,potencjał
32;OBRAŹ MNIE;Twój plan brzmi świetnie, dopóki ktoś nie zacznie zadawać pytań.;TAK;1;roast,decyzje
33;OBRAŹ MNIE;Nie martw się opinią innych. Twoja własna już wystarczająco Ci szkodzi.;TAK;1;roast
34;OBRAŹ MNIE;Jesteś swoim największym krytykiem. I pierwszy raz muszę przyznać Ci rację.;TAK;1;roast
35;OBRAŹ MNIE;Masz niezwykły talent do komplikowania rzeczy, które już działały.;TAK;1;roast,życie
36;OBRAŹ MNIE;Twój mózg dziś pracuje zdalnie. Nie podał adresu.;TAK;1;roast,absurd
